barcode	name	calories	protein	carbs	fat	source
0039047005440	Chocolate Chunk & Hazelnut Biscuits	531	6.1	56.6	30.6	nutrition.aggregated_set
0039047010208	Wanderer: Glutenfrei: Reine Butter Shortbread	518	3.6	63.5	27.4	nutrition.aggregated_set
0039047010215	Gluten Free Chocolate Chip Shortbread	484	3.7	63.5	27.1	nutrition.aggregated_set
0039047010222	Glutenfree ginger and lemon shortbread	516	3.2	67.7	25.8	nutrition.aggregated_set
0039047015760	Reine Butter Mini Shortbread Weihnachtsbäume	533	6.7	60	30	nutrition.aggregated_set
0039047017672	Wanderer Pure Butter Mini Shortbread	519	6.1	58.5	28.6	nutrition.aggregated_set
0039047017689	Pure butter mini shock runder cup kurz	520	4	60	28	nutrition.aggregated_set
0039047017962	Mini Shortbread Fingers	516	6.5	61.3	29	nutrition.aggregated_set
0039047050730	Belgian Chocolate Chunk Biscuits	504	5.3	63	25.2	nutrition.aggregated_set
0039400016809	Pinto Beans In Chili Sauce, Medium	85	4.6	15.4	0.8	nutrition.aggregated_set
0039400017127	Golden Hominy	33	0.6	7.7	1.2	nutrition.aggregated_set
0040000394129	Peanut butter squared singles size chocolate	495	9.9	55.4	27.7	nutrition.aggregated_set
0040000446514	M &M'S Pretzel Sharing Size	444	3.7	74.1	14.8	nutrition.aggregated_set
0041000022531	Pasta sides alfredo	450	16	90	3	nutrition.input_sets[0]
0041000022869	Pasta sides cheddar broccoli	186	7	46	1	nutrition.aggregated_set
0041000022906	Italian sides creamy garlic shells	355	12.9	75	1.6	nutrition.aggregated_set
0041303007990	Fancy shredded mild cheddar cheese	393	89.3	12.7	114.8	nutrition.aggregated_set
0041331124669	Black beans	107	6.6	18.9	0.4	nutrition.aggregated_set
0041449305547	Buttermilk Complete Pancake Mix	360	10.8	70.2	3.4	nutrition.aggregated_set
0041460301559	Baking mix	400	7.5	65	12.5	nutrition.aggregated_set
0041500842639	RedHot Wings Sauce - Buffalo	31	0.7	2.3	1.4	nutrition.aggregated_set
0041780002914	Sourdough Nuggets Pretzels	357	7.1	78.6	0	nutrition.aggregated_set
0041920139654	Original Kremser Senf	77	1.5	11.7	2.4	nutrition.aggregated_set
0042272000326	Frozen Vegetable Lasagna	130	5.9	14.9	5.2	nutrition.aggregated_set
0042272005307	Organic Black Bean Chili	58	4.8	15.4	1.1	nutrition.aggregated_set
0043000200025	Jello - Raspberry	364	9.1	86.4	0	nutrition.aggregated_set
0043000200056	Jello - Lemon	409	9.1	86.4	0	nutrition.aggregated_set
0043000200063	Lime Gelatin Dessert	409	9.1	86.4	0	nutrition.aggregated_set
0043000200070	Jello - Cranberry	364	9.1	86.4	0	nutrition.aggregated_set
0043000200261	Jello - Island Pineapple	364	9.1	86.4	0	nutrition.aggregated_set
0043000204313	Instant Pudding & Pie Filling - Chocolate	357	0	89.3	0	nutrition.aggregated_set
0043000204399	Instant Pudding & Pie Filling - French Vanilla	360	0	92	0	nutrition.aggregated_set
0043000204429	Instant Pudding & Pie Filling - Banana	375	0	91.7	0	nutrition.aggregated_set
0043000205815	Jell-O Instant Reduced Calorie Pudding & Pie Filling, Chocolate	300	0	70	0	nutrition.aggregated_set
0043000955314	kool-aid	0	0	0	0	nutrition.aggregated_set
0043427201049	Olives	0	0	0	0	nutrition.aggregated_set
0043454000059	Tempeh - Original	176	21.2	9.4	7.1	nutrition.aggregated_set
0043647190017	Raspberry Seedless Jam	277	0.7	67	0	nutrition.aggregated_set
0043647380012	Orangen Marmelade	273	0	67	0	nutrition.aggregated_set
0043647385017	Medium cut orange & ginger marmalade	270	0	66	0	nutrition.aggregated_set
0043647680037	Chip tory lemon curd	387	2.2	60	15	nutrition.aggregated_set
0043647764010	Bio Erdbeere Konfiture Extra	271	0	66	0	nutrition.aggregated_set
0043647864031	Hot Mango Sauce	229	0	57	0	nutrition.aggregated_set
0044000004019	Bio-Frischsauerkraut	19	1.6	2.4	0.3	nutrition.aggregated_set
0044700079195	Lunchmeat - Chicken breast	123	22.5	0.8	2.5	nutrition.aggregated_set
0044738018371	TCC Premium Coconut Milk	167	1.6	2.4	17.1	nutrition.aggregated_set
0044738072311	Sweet Chili Sauce	267	0	66.7	0	nutrition.aggregated_set
0044738205610	Panang curry	150	10	20	0	nutrition.aggregated_set
0046000279183	Taco Shell	481	7.4	63	22.2	nutrition.aggregated_set
0046000283272	Chunky Salsa Dip	39	1.5	6.8	0.5	nutrition.aggregated_set
0046000283289	Chunky Salsa for Dipping Onion & Green Pepper	39	1.5	6.8	0.5	nutrition.aggregated_set
0046000815213	Guacamole Mild	285	7.4	52.1	2.9	nutrition.aggregated_set
0046066600068	Menthise	363	0	91	0	nutrition.aggregated_set
0048121253196	Everything bagels	295	10.5	49.5	4.2	nutrition.aggregated_set
0048375014109	Palmherzen	16	3	1	0	nutrition.aggregated_set
0048707459479	Nacho Cheese Sauce	254	0.1	10	18.8	nutrition.aggregated_set
0049000014242	Fanta Grape USA	48	0	12.4	0	nutrition.aggregated_set
0049000014266	Fanta Strawberry	51	0	13.5	0	nutrition.aggregated_set
0049111000066	Facile Kochbeutel Langkornreis	350	7	78	0.9	nutrition.aggregated_set
0049200056004	Dark Brown Sugar	375	0	100	0	nutrition.aggregated_set
0049200056752	Pure Cane Sugar	387	0.1	97.3	0	nutrition.aggregated_set
0049200057803	Light brown sugar	375	0	100	0	nutrition.aggregated_set
